action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Exit,1,1113,1,0.8313011226554701,2024-04-17 17:10:38.100,mendels,2024-04-17,17:10:01,2024-04-17 17:10:01,17,mendels_2024-04-17_17_10_01,mendels_2024-04-17_17_10_01_events.csv,37.1,2024-04-17 17:10:38.100000
Entry,56,5475,19,0.9427712080157108,2024-04-17 17:23:02.500,mendels,2024-04-17,17:20:00,2024-04-17 17:20:00,17,mendels_2024-04-17_17_20_00,mendels_2024-04-17_17_20_00_events.csv,182.5,2024-04-17 17:23:02.500000
Exit,56,6891,1,0.6996751188587161,2024-04-17 17:23:49.700,mendels,2024-04-17,17:20:00,2024-04-17 17:20:00,17,mendels_2024-04-17_17_20_00,mendels_2024-04-17_17_20_00_events.csv,229.7,2024-04-17 17:23:49.700000
Exit,43,8398,28,0.8256141934119486,2024-04-18 09:04:39.933333,mendels,2024-04-18,09:00:00,2024-04-18 09:00:00,9,mendels_2024-04-18_09_00_00,mendels_2024-04-18_09_00_00_events.csv,279.93333333333334,2024-04-18 09:04:39.933333
Exit,1,13844,9,0.6027764573573031,2024-04-18 09:07:41.466667,mendels,2024-04-18,09:00:00,2024-04-18 09:00:00,9,mendels_2024-04-18_09_00_00,mendels_2024-04-18_09_00_00_events.csv,461.46666666666664,2024-04-18 09:07:41.466667
Entry,30,13902,8,0.9260129545923552,2024-04-18 09:07:43.400000,mendels,2024-04-18,09:00:00,2024-04-18 09:00:00,9,mendels_2024-04-18_09_00_00,mendels_2024-04-18_09_00_00_events.csv,463.4,2024-04-18 09:07:43.400000
Exit,30,4772,2,0.6549446607861071,2024-04-18 09:22:39.066667,mendels,2024-04-18,09:20:00,2024-04-18 09:20:00,9,mendels_2024-04-18_09_20_00,mendels_2024-04-18_09_20_00_events.csv,159.06666666666666,2024-04-18 09:22:39.066667
Entry,43,946,18,0.9922219912388516,2024-04-18 09:30:32.533333,mendels,2024-04-18,09:30:01,2024-04-18 09:30:01,9,mendels_2024-04-18_09_30_01,mendels_2024-04-18_09_30_01_events.csv,31.533333333333335,2024-04-18 09:30:32.533333
Entry,59,1066,23,0.9464745104101938,2024-04-18 09:30:36.533333,mendels,2024-04-18,09:30:01,2024-04-18 09:30:01,9,mendels_2024-04-18_09_30_01,mendels_2024-04-18_09_30_01_events.csv,35.53333333333333,2024-04-18 09:30:36.533333
Entry,60,6057,4,0.9242039296951404,2024-04-18 09:33:22.900000,mendels,2024-04-18,09:30:01,2024-04-18 09:30:01,9,mendels_2024-04-18_09_30_01,mendels_2024-04-18_09_30_01_events.csv,201.9,2024-04-18 09:33:22.900000
Entry,50,8703,35,0.9927245878200058,2024-04-18 09:34:51.100000,mendels,2024-04-18,09:30:01,2024-04-18 09:30:01,9,mendels_2024-04-18_09_30_01,mendels_2024-04-18_09_30_01_events.csv,290.1,2024-04-18 09:34:51.100000
Entry,20,16921,175,0.9625842245384256,2024-04-18 09:39:25.033333,mendels,2024-04-18,09:30:01,2024-04-18 09:30:01,9,mendels_2024-04-18_09_30_01,mendels_2024-04-18_09_30_01_events.csv,564.0333333333333,2024-04-18 09:39:25.033333
Exit,59,14855,107,0.6707825001885426,2024-04-18 10:28:15.166667,mendels,2024-04-18,10:20:00,2024-04-18 10:20:00,10,mendels_2024-04-18_10_20_00,mendels_2024-04-18_10_20_00_events.csv,495.1666666666667,2024-04-18 10:28:15.166667
Entry,59,15610,107,0.6381518988545207,2024-04-18 10:28:40.333333,mendels,2024-04-18,10:20:00,2024-04-18 10:20:00,10,mendels_2024-04-18_10_20_00,mendels_2024-04-18_10_20_00_events.csv,520.3333333333334,2024-04-18 10:28:40.333333
Exit,50,6870,1,0.6722513752757088,2024-04-18 10:33:49.000000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,229.0,2024-04-18 10:33:49.000000
Exit,60,10557,53,0.6536312553354177,2024-04-18 10:35:51.900000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,351.9,2024-04-18 10:35:51.900000
Exit,60,10603,54,0.6261153164306026,2024-04-18 10:35:53.433333,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,353.43333333333334,2024-04-18 10:35:53.433333
Exit,60,10666,55,0.916295662722392,2024-04-18 10:35:55.533333,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,355.53333333333336,2024-04-18 10:35:55.533333
Entry,60,10666,55,0.849889000556624,2024-04-18 10:35:55.533333,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,355.53333333333336,2024-04-18 10:35:55.533333
Exit,59,10980,77,0.6449063351048117,2024-04-18 10:36:06.000000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,366.0,2024-04-18 10:36:06.000000
Exit,59,11043,78,0.8406570132122184,2024-04-18 10:36:08.100000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,368.1,2024-04-18 10:36:08.100000
Entry,59,11058,78,0.7515877894700956,2024-04-18 10:36:08.600000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,368.6,2024-04-18 10:36:08.600000
Exit,59,11100,91,0.6564617654337651,2024-04-18 10:36:10.000000,mendels,2024-04-18,10:30:00,2024-04-18 10:30:00,10,mendels_2024-04-18_10_30_00,mendels_2024-04-18_10_30_00_events.csv,370.0,2024-04-18 10:36:10.000000
