video_title,site_name,recorded_at,frame,track_id,x1,y1,x2,y2,cx,cy,confidence,source,taxon,bee_id,bee_id_method,bee_id_confidence,mode
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1806,1,528.1226196289062,532.1620483398438,585.093994140625,609.6217651367188,551.3135556866827,569.1358743067163,0.8185902833938599,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1807,1,508.73046875,521.89892578125,563.5468139648438,596.8318481445312,528.2291076801332,560.5315135217096,0.8094263076782227,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1808,1,512.2154541015625,501.0714111328125,559.7295532226562,575.289794921875,527.3184660444584,541.0957755509914,0.8285216093063354,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1809,1,513.8750610351562,473.0330505371094,576.6174926757812,557.3587036132812,538.4305665233272,517.5128714043093,0.8275043964385986,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1810,1,513.81884765625,454.5194091796875,565.507568359375,517.0924072265625,538.6985936180736,488.17948931913725,0.8099828362464905,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1811,1,467.4813537597656,440.60009765625,518.7124633789062,502.2618408203125,500.88314421749044,470.1378031543513,0.8128615021705627,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1812,1,401.1094970703125,438.14739990234375,446.1414489746094,496.87359619140625,433.76490279239954,464.2474095664926,0.8235673904418945,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1813,1,319.5971984863281,446.417236328125,364.8264465332031,506.016845703125,350.6183554174796,471.73074828502826,0.7937424182891846,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1814,1,257.8694152832031,459.24163818359375,310.032470703125,529.5489501953125,284.3757549950586,489.8972494755436,0.8139010667800903,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1815,1,243.53822326660156,485.4534912109375,292.94146728515625,552.6265869140625,259.48298315407715,515.2864176922545,0.8410869836807251,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1816,1,256.5960693359375,494.281982421875,302.1387634277344,566.3829956054688,267.88951871222383,530.674586228291,0.8393064141273499,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1817,1,283.6509094238281,498.9417724609375,328.83349609375,568.5364379882812,296.31873902864663,536.071365730368,0.8417150378227234,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1818,1,324.18304443359375,488.48699951171875,368.0998229980469,557.0403442382812,338.36306624136483,527.0282946130438,0.8149763941764832,yolo,bee,,,0.0,tracking
